uid,title,description,long_description,begin,end,location_name,location_city,location_address,origin_agenda
18104453,Étrange diptyque signé Guillaume Bottazzi sur le patrimoine historique des Gratte-Ciel de Villeurbanne,Cette création de Guillaume Bottazzi mesure 4m de haut et se situe sur le patrimoine historique des premiers gratte-ciels de France.,"### Cette création de Guillaume Bottazzi mesure 4m de haut et se situe sur le patrimoine historique des premiers gratte-ciels de France.

Cette étrange et mystérieuse création a été réalisée en 2009. Située dans l'une des rues les plus emblématiques de la ville, jalonnée de gratte-ciels et de commerces, elle a reçu les félicitations des architectes des Bâtiments de France.  
Cette commande in situ implique une approche globale intégrant différents paramètres spécifiques au lieu où elles se trouvent en soulignant notamment la hauteur et la symétrie de l’architecture.  
Elle crée un espace onirique, enchanteur, qui évolue en fonction de l’imaginaire de chacun.  
À l'occasion de la 43e édition des Journées européennes du patrimoine, l'artiste peintre [Guillaume Bottazzi](https://fr.wikipedia.org/wiki/Guillaume_Bottazzi), pionnier de la [neuroesthétique](https://fr.wikipedia.org/wiki/Neuroesth%C3%A9tique) appliquée, nous invite à un parcours artistique gargantuesque composé de plus de 90 œuvres d'art patrimoniales qui nous font du bien.  
Cette initiative intervient alors que l'Union Européenne et la France ont désigné la santé mentale comme « Grande Cause nationale » pour 2026. Ces œuvres in situ améliorent notre qualité de vie. Ces créations poétiques, fondées sur des connaissances issues de la neurobiologie, créent un écosystème qui aide à vivre plus heureux.  
Site officiel de [Guillaume Bottazzi](https://guillaume.bottazzi.org)",2026-09-18 08:00:00+02:00,2026-09-18 21:00:00+02:00,Gratte-Ciel de Villeurbanne,Villeurbanne,"22 rue Paul Verlaine, 69100 Villeurbanne, Métropole de Lyon, Auvergne-Rhône-Alpes",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
56288070,Six œuvres évanescentes et zénifiantes signées Guillaume Bottazzi,"Ces œuvres rétroéclairées sur toile d’avion, réalisées en 2020 et 2021, créent une atmosphère apaisante. La légèreté et la finesse d’exécution proviennent de la technique utilisée, appelée « glacis …","Ces œuvres rétroéclairées sur toile d’avion, réalisées en 2020 et 2021, créent une atmosphère apaisante. La légèreté et la finesse d’exécution proviennent de la technique utilisée, appelée « glacis », qui consiste à superposer de fines couches transparentes pour donner une douceur et une profondeur aux couleurs.  
Elles sont composées de bleu de Prusse, de turquoise, de blanc, de pourpre, de fuchsia et de rose renoncule. Elles créent un espace poétique et enchanteur qui évolue selon l'imaginaire de chacun.  
À l'occasion de la 43e édition des Journées européennes du patrimoine, l'artiste peintre [Guillaume Bottazzi](https://fr.wikipedia.org/wiki/Guillaume_Bottazzi), pionnier de la [neuroesthétique](https://fr.wikipedia.org/wiki/Neuroesth%C3%A9tique) appliquée, nous invite à un parcours artistique gargantuesque composé de plus de 90 œuvres d'art patrimoniales qui nous font du bien.  
Ces œuvres sont à découvrir dans toute la France, des Hauts-de-France à la région Occitanie, en passant par la capitale, le Grand Paris, l'Auvergne-Rhône-Alpes et la Provence-Alpes-Côte d'Azur.  
[Guillaume Bottazzi](https://guillaume.bottazzi.org) a signé plus de 180 œuvres patrimoniales qui ont la vocation de valoriser le patrimoine, en Europe, aux Etats-Unis, en Chine et au Japon, commandées par des villes, des musées et des architectes. Elles s’inscrivent au patrimoine architectural des lieux où elles se situent.  
Cette initiative intervient alors que l'Union Européenne et la France ont désigné la santé mentale comme « Grande Cause nationale » pour 2026. Ces œuvres in situ améliorent notre qualité de vie. Ces créations poétiques, fondées sur des connaissances issues de la neurobiologie, créent un écosystème qui aide à vivre plus heureux.  
Le public est invité à se promener en regardant ces œuvres pour voir s'il reçoit sa dose de bien-être.  
**Reportages télévisés :**  
[BFM TV](https://youtu.be/krB-QT5jbwQ)  
[France 3](https://youtu.be/HMkNp3uoD8w)

Site officiel de [Guillaume Bottazzi](https://guillaume.bottazzi.org)",2026-09-18 08:00:00+02:00,2026-09-18 20:00:00+02:00,7ème Squ'ART,Lyon,107 rue Bechevelin 69007 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
26408086,Métiers et transmission Meilleurs Ouvriers de France,Les Meilleurs Ouvriers de France du Rhône organisent un événement exceptionnel à LYON 4 en exterieur sur la place Bertone et en interieur à la maison des MOF au 22 rue Belfort.,"Les Meilleurs Ouvriers de France du Rhône organisent un événement exceptionnel à LYON 4 en exterieur sur la place Bertone et en interieur à la maison des MOF au 22 rue Belfort.  
Le vendredi sera entièrement réservé aux publics scolaires et le reste du week-end sera tout public.  
À cette occasion, des ateliers participatifs permettront de découvrir et expérimenter les gestes des métiers du patrimoine bâti : charpente, couverture, taille de pierre, maçonnerie, métiers du verre, ferronnerie, serrurerie, paysagisme…  
Encadrés par des Meilleurs Ouvriers de France (MOF), des Meilleurs Apprentis de France (MAF), les Compagnons du Devoir et des artisans issus d’Entreprises du Patrimoine Vivant, le public aura l’opportunité unique de s’initier à ces savoir-faire d’exception et de dialoguer avec des professionnels passionnés.",2026-09-18 08:00:00+02:00,2026-09-18 18:00:00+02:00,place bertone,Lyon,place bertone 69004 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
9967308,Fontaine aux salamandres et texte du carrier Louis Ligneux,"Les répliques du carrier Pierre Ligneux, trouvées sur le front de taille ont été déposées à côté de la fontaine, lieu de ponte des salamandres. Jusqu'au 19 è siècle le chemin du Pinay était emprunté…","Les répliques du carrier Pierre Ligneux, trouvées sur le front de taille ont été déposées à côté de la fontaine, lieu de ponte des salamandres. Jusqu'au 19 è siècle le chemin du Pinay était emprunté par les carriers et leurs charrettes jusqu'à la Saône où les pierres étaient embarquées pouyr construire Lyon avant l'arrivée du train. Ce chemin et les répliques du texte de Pierre Ligneux sont une manière de se souvenir du passé des carriers.",2026-09-18 08:00:00+02:00,2026-09-18 20:00:00+02:00,Chemin du Pinay,Saint-Romain-au-Mont-d'Or,Chemin du Pinay 69270 Saint-Romain au mont d or,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
56531615,Exposition « vibrations phéniciennes »,Tahar Aouidan artiste peintre et calligraphe tunisien exposera ses œuvres inspirées de la méditerranée et du milieu marin,"Tahar Aouidan artiste peintre et calligraphe tunisien exposera ses œuvres inspirées de la méditerranée et du milieu marin  
La méditerranée a toujours été un point de rencontre, de transit, d’échanges et contacts culturels. Voir et faire voir la mer c’est un peu appeler à revoir l’héritage humain et les transmissions universelles en matière de création et d’esthétique, de sorte à ce que la mer finisse par ne plus être qu’une partie du décor naturel ou un élément neutre du spectacle. Elle est la vie.",2026-09-18 08:30:00+02:00,2026-09-18 13:00:00+02:00,Institut Français de Civilisation Musulmane,Lyon,52 Rue Guillaume Paradin 69008 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
47303680,Patrimoine en péril,Journées européennes du patrimoine,"Exposition en libre accès dans la cathédrale.  
Comment protéger notre patrimoine ? Faut-il seulement le préserver ou plutôt le faire évoluer ? Selon les époques, les évènements qui ont marqué la cathédrale de Lyon, les sensibilités des différentes personnes qui lui donnent vie depuis plusieurs siècles et qui l’entretienne, plusieurs réponses ont été apportées à ces questions.",2026-09-18 09:00:00+02:00,2026-09-18 19:30:00+02:00,Cathédrale Saint-Jean-Baptiste,Lyon,"Place Saint Jean, 69005 Lyon, France",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
54463204,VISITE ATELIER DE SOIERIE LYONNAISE,"Venez visiter l’atelier familial de tissage à bras, classé Monument Historique, du célèbre maître tisseur Georges Mattelon.","Venez visiter l’atelier familial de tissage à bras, classé **Monument Historique**, du célèbre maître tisseur **Georges Mattelon**.  
_Les visites comportent une d__**émonstration de tissage**_ _sur les métiers d’origine, accompagnés d’explications sur les_ _**techniques employées**__, d’une présentation des différents_ _**métiers de la Fabrique**_ _des Soies, un rappel de l’histoire de l’atelier et un autre évoquant l__**’histoire de la soierie à Lyon.**_",2026-09-18 09:00:00+02:00,2026-09-18 17:30:00+02:00,Atelier Mattelon,Lyon,"10 Rue Richan, 69004 Lyon, France",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
26922569,Exposition « Patrimoine de Lissieu »,"Photographies, plans napoléoniens et bannière de la Chorale datant de 1865.","Photographies, plans napoléoniens et bannière de la Chorale datant de 1865.",2026-09-18 09:00:00+02:00,2026-09-18 17:00:00+02:00,Mairie de Lissieu,Lissieu,75 route départementale 306 69380 Lissieu,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
24995180,Tableau vert émeraude de 4m de long signé Guillaume Bottazzi,Cette œuvre émaillée réalisée en 2018 mesure plus de 4 mètres de long. Elle orne le hall d'accueil d’un immeuble de bureaux appelé « La Vague ». Elle se trouve face à la Saône et à la brasserie Elle …,"Cette œuvre émaillée réalisée en 2018 mesure plus de 4 mètres de long. Elle orne le hall d'accueil d’un immeuble de bureaux appelé « La Vague ». Elle se trouve face à la Saône et à la brasserie Bocuse Ouest. Elle est visible de l’extérieur à travers de grandes baies vitrées.  
Ses tonalités bleu canard, vert émeraude et turquoise font référence à la Saône et à l’architecture environnante. Cette création est composée d’émaux déposés sur du verre, ensuite trempé et feuilleté.  
Elle crée un espace poétique et enchanteur, qui évolue selon l'imaginaire de chacun. Le public est convié à découvrir cette création poétique immersive dans le 9ème arrondissement.  
À l'occasion de la 43e édition des Journées européennes du patrimoine, l'artiste peintre [Guillaume Bottazzi](https://fr.wikipedia.org/wiki/Guillaume_Bottazzi), pionnier de la [neuroesthétique](https://fr.wikipedia.org/wiki/Neuroesth%C3%A9tique) appliquée, nous invite à un parcours artistique gargantuesque composé de plus de 90 œuvres d'art patrimoniales qui nous font du bien.  
Ces œuvres sont à découvrir dans toute la France, des Hauts-de-France à la région Occitanie, en passant par la capitale, le Grand Paris, l'Auvergne-Rhône-Alpes et la Provence-Alpes-Côte d'Azur.  
[Guillaume Bottazzi](https://guillaume.bottazzi.org) a signé plus de 180 œuvres patrimoniales qui ont la vocation de valoriser le patrimoine, en Europe, aux Etats-Unis, en Chine et au Japon, commandées par des villes, des musées et des architectes. Elles s’inscrivent au patrimoine architectural des lieux où elles se situent.  
Cette initiative intervient alors que l'Union Européenne et la France ont désigné la santé mentale comme « Grande Cause nationale » pour 2026. Ces œuvres in situ améliorent notre qualité de vie. Ces créations poétiques, fondées sur des connaissances issues de la neurobiologie, créent un écosystème qui aide à vivre plus heureux.  
Le public est invité à se promener en regardant ces œuvres pour voir s'il reçoit sa dose de bien-être.  
Site officiel de [Guillaume Bottazzi](https://guillaume.bottazzi.org)",2026-09-18 09:00:00+02:00,2026-09-18 18:00:00+02:00,Immeuble La Vague,Lyon,"2, quai du Commerce, 69009 Lyon, Métropole de Lyon, Auvergne-Rhône-Alpes",Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
93747077,Levez les yeux - fresques et rosaces de la chapelle du Lycée St Marc,Accueil commun des deux classes avec une présentation du chantier des fresques et du métier de restaurateur-restauratrice.,"Accueil commun des deux classes avec une présentation du chantier des fresques et du métier de restaurateur-restauratrice.  
Puis répartition en deux groupes :  
un premier groupe découvre plus en détail le travail de restauration des fresques et échange autour du chantier ;  
un second groupe participe à une médiation dans le lieu (visite, questionnaire, dessin, écriture ou observation autour du thème « Levez les yeux ! ») - Rosace, architecture, autres fresques...  
Les groupes inversent ensuite leurs parcours.  
des classes se sont déjà pré-inscrites.",2026-09-18 09:00:00+02:00,2026-09-18 11:30:00+02:00,Lycée Saint-Marc,Lyon,10 rue Sainte Hélène 69002 Lyon,Journées européennes du patrimoine 2026 - Auvergne – Rhône-Alpes
